event,column,row,timebin,adc,tdc,hit
0,0,0,0,155,0,0
0,0,0,1,157,0,0
0,0,0,2,156,0,0
0,0,0,3,157,0,0
0,0,0,4,157,0,0
0,0,0,5,157,0,0
0,0,0,6,158,0,0
0,0,0,7,157,0,0
0,0,1,0,157,0,0
0,0,1,1,158,0,0
0,0,1,2,158,0,0
0,0,1,3,158,0,0
0,0,1,4,158,0,0
0,0,1,5,158,0,0
0,0,1,6,157,0,0
0,0,1,7,158,0,0
0,0,2,0,163,0,0
0,0,2,1,163,0,0
0,0,2,2,163,0,0
0,0,2,3,164,0,0
0,0,2,4,165,0,0
0,0,2,5,164,0,0
0,0,2,6,165,0,0
0,0,2,7,165,0,0
0,0,3,0,160,0,0
0,0,3,1,160,0,0
0,0,3,2,161,0,0
0,0,3,3,161,0,0
0,0,3,4,162,0,0
0,0,3,5,162,0,0
0,0,3,6,162,0,0
0,0,3,7,161,0,0
0,0,4,0,156,0,0
0,0,4,1,156,0,0
0,0,4,2,157,0,0
0,0,4,3,157,0,0
0,0,4,4,158,0,0
0,0,4,5,157,0,0
0,0,4,6,156,0,0
0,0,4,7,156,0,0
0,0,5,0,166,0,0
0,0,5,1,167,0,0
0,0,5,2,168,0,0
0,0,5,3,168,0,0
0,0,5,4,168,0,0
0,0,5,5,168,0,0
0,0,5,6,169,0,0
0,0,5,7,169,0,0
0,0,6,0,155,0,0
0,0,6,1,155,0,0
0,0,6,2,157,0,0
0,0,6,3,157,0,0
0,0,6,4,158,0,0
0,0,6,5,158,0,0
0,0,6,6,159,0,0
0,0,6,7,158,0,0
0,0,7,0,164,0,0
0,0,7,1,165,0,0
0,0,7,2,165,0,0
0,0,7,3,165,0,0
0,0,7,4,165,0,0
0,0,7,5,165,0,0
0,0,7,6,165,0,0
0,0,7,7,165,0,0
0,0,8,0,166,0,0
0,0,8,1,166,0,0
0,0,8,2,166,0,0
0,0,8,3,167,0,0
0,0,8,4,167,0,0
0,0,8,5,167,0,0
0,0,8,6,168,0,0
0,0,8,7,168,0,0
0,0,9,0,159,0,0
0,0,9,1,160,0,0
0,0,9,2,160,0,0
0,0,9,3,160,0,0
0,0,9,4,160,0,0
0,0,9,5,159,0,0
0,0,9,6,159,0,0
0,0,9,7,159,0,0
0,0,10,0,166,0,0
0,0,10,1,168,0,0
0,0,10,2,168,0,0
0,0,10,3,167,0,0
0,0,10,4,167,0,0
0,0,10,5,167,0,0
0,0,10,6,167,0,0
0,0,10,7,167,0,0
0,0,11,0,165,0,0
0,0,11,1,166,0,0
0,0,11,2,166,0,0
0,0,11,3,166,0,0
0,0,11,4,166,0,0
0,0,11,5,165,0,0
0,0,11,6,166,0,0
0,0,11,7,166,0,0
0,0,12,0,157,0,0
0,0,12,1,158,0,0
0,0,12,2,158,0,0
0,0,12,3,158,0,0
0,0,12,4,158,0,0
0,0,12,5,157,0,0
0,0,12,6,158,0,0
0,0,12,7,158,0,0
0,0,13,0,149,0,0
0,0,13,1,149,0,0
